name,proto,anim,tang,gender,possessable,posr,unique,count,size,tags,precomp,complements,inflections,prohibitions,disabled
storm,,0,1,,1,,0,TRUE,9,"weather, event, obstacle",,,,,
team,,3,1,,3,,0,TRUE,0,organization,,(20 of N{number:pl;anim:>1;person:3;tags:!collective}),,,
team1,team,,,,,,,,,,DP{tags:game},--,,,
tendency,,0,0,,7,,0,TRUE,0,tendency,,(40 INF_PHRASE   | 25 toward GP),,,
toy,,0,2,,3,,0,TRUE,4,device,,,,,
uncle,father,,,,,,,TRUE,,-,,,,,
zombie,,2,2,,3,,0,TRUE,6,"hasHeight, creature, mobile",,,,,
tendency1,tendency,,,,0,,,,,,,of INF_CLAUSE,,--,
citizen.1,citizen,,,,0,,,,,,,,,--,
winner,human,,,,0,tags:contest,,,,,,,,def:indef,
staff,choir,,,,,,,,,,,,,"number:pl,def:indef",
fact1,fact,,,,,,,,,,,(80 that CLAUSE),,"number:pl,def:indef,case:nom",
citizen,human,,,,7,tags:territory,,,,,,,,number:sg,
_unicorn,dog,,,,,,,,"6,7",,,,,,
Abe Lincoln,Batman,,,,,,,,,,,,,,
airplane,machine,,,,,,,,,"airVehicle, passengerVehicle",,,,,
Albert Einstein,Batman,,,,,,,,,,,,,,
Alfred Hitchcock,Batman,,,,,,,,,,,,,,
alien,human,,,,,,,,,,,,,,
amoeba,bug,,,,,,,,1,"-,lifeform",,,,,
anaconda,dog,,,,,,,,,,,,,,
army,team,,,,,,,,,,,,,,
Arnold Schwartzenegger,Batman,,,,,,,,,,,,,,
article,book,,1,,,,,,,,,,,,
Aunt Jemima,Cinderella,,,,,,,,,,,,,,
baboon,dog,,,,,,,,,,,,,,
bag,,0,2,,3,,0,TRUE,"4,5,6,7",vessel,,(90 of N{(tags: item; (number:pl | count:false); anim:<2; unique:0; size:<noun.size | tags:substance) } ),,,
banana,rock,,,,,,,,4,edible,,,,,
Barack Obama,Batman,,,,,,,,,,,,,,
basket,box,,,,,,,,,,,,,,
Big Foot,Batman,,,,,,,,,,,,,,
Bilbo Baggins,Batman,,,,,,,,,,,,,,
boat,machine,,,,,,,,"7,8","waterVehicle, passengerVehicle, motorVehicle",,,,,
boat1,,0,2,,5,,0,TRUE,"6,7",waterVehicle,,,,,
submarine,boat,,,,,,,,,,,,,,
oil tanker,boat,,,,,,,,,,,,,,
book,letter,,,,,,,,,,,,,,
book.1,book,,,,0,,,,,,,(40 by NP{anim:3;number:sg;unique:2}) (40 about NP),,case:gen,
Borg,Canuck,2,,,,,,,,,,,pl:Borg,,
bowling ball,ball,,,,,,,,,,,,,,
box,bag,,,,,,,,,structure,,,,,
brother,father,,,,,,,,,,,,,,
bug,dog,1.5,,,,,,,"2,3","bug, -",,,,,
Bugs Bunny,Batman,,,,,,,,,,,,,,
bus,car,,,,,,,,7,passengerVehicle,,,,,
car,machine,,,,,,,,7,"motorVehicle, groundVehicle, container",,,,,
centaur,human,,,,,,,,,,,,,,
chariot,car,,,,,,,,,,,,,,
Charlemagne,Batman,,,,,,,,,,,,,,
chicken,dog,,,,,,,,,,,,,,
child,human,,,,5,,,,5,,,,pl:children,,
chimney sweep,human,,,,,,,,,,,,,,
Chuck Norris,Batman,,,,,,,,,,,,,,
chupacabra,dog,,,,,,,,,,,,,,
Cinderella,Sally,,,,,,,,,"-,person,fullname",--,,,,
Cleopatra,Cinderella,,,,,,,,,,,,,,
communist,human,,,,,,,,,,,,,,
company,team,,,,,,,,,,,,,,
computer,machine,,,,,,,,,,,,,,
conductor,human,,,,,,,,,,,,,,
conquistador,human,,,,,,,,,,,,,,
contraption,machine,,,,,,,,,,,,,,
Corolla,car,,,,,,,,,,,,,,
cow,dog,,,,,,,,6.5,,,,,,
criminal,human,,,,0,,,,,,,,,,
crowd,team,,,,,,,,"7,8",,,,,,
customer,human,,,,,,,,,,,,,,
Daffy Duck,Batman,,,,,,,,,,,,,,
Darth Vader,Batman,,,,,,,,,,,,,,
data,garbage,,1,,,,,,,"collective,information, visible",,,,,
death,life,,,,,,,,,,,--,pl:deaths,,
decision,,0,0,,6,,0,TRUE,0,-,,,,,
device,,0,2,,0,,0,TRUE,4,device,,,,,
gadget,device,,,,,,,,,,,,,,
dinosaur,dog,,,,,,,,"7,8",,,,,,
disaster1,disaster,,,,,,,,,"situation,-",,,,,
doberman pincher,dog,,,,,,,,,,,,,,
doctor,human,,,,4,,,,,,,,,,
dragon,dinosaur,,,,,,,,,,,,,,
dragonfly,bug,,,,,,,,,,,,,,
dung beetle,bug,,,,,,,,,,,,,,
earthquake,disaster,,,,,,,,,"event,-",,,,,
elf,human,,,,,,,,,,,,pl:elves,,
Elmer Fudd,Batman,,,,,,,,,,,,,,
enemy,human,,,,6,anim:3,,,,,,,,,
fairy,human,,,,,,,,,,,,,,
father,mother,,,m,,,,,,,,,,,
Ferrari,car,,,,,,,,,,,,,,
fish,bug,,,,,,,,"4,5,6",,,,pl:fish,,
fishing,dancing,,,,,,,,,,,,,,
flotsam and jetsam,garbage,,,,,,,,,,,,,,
food,garbage,,,,,,,,,edible,,,,,
furniture,money,,,,,,,,,,,,,,
germaphobe,human,,,,,,,,,,,,,,
giant squid,fish,,,,,,,,7,,,,,,
goat,dog,,,,,,,,"5,6",,,,,,
Godzilla,Jack,2,,,,,,,8,"-,beast,fullname",,,,,
golf cart,car,,,,,,,,,,,,,,
gorilla,dog,,,,,,,,,,,,,,
grandfather,father,,,,,,,,,,,,,,
grasshopper,bug,,,,,,,,,,,,,,
great white shark,dog,,,,,,,,7,waterAnimal,,,,,
gymnastics,dancing,,,,,,,,,,,,,,
hamster,dog,,,,,,,,4,,,,,,
Harlem Globetrotter,Canuck,,,,,,,,,,,,,,
