name,proto,anim,tang,gender,unique,possessable,count,tags,complements,inflections,prohibitions,disabled
platypus,dog,,,,,,,,,pl:platypi,,
doberman pincher,dog,,,,,,,,,,,
dragon,dog,,,,,,,,,,,
great white shark,dog,,,,,,,,,,,
giant squid,dog,,,,,,,,,,,
pterodactyl,dog,,,,,,,,,,,
Loch Ness monster,dog,,,,1,,,,,,,
yeti,dog,,,,,,,,,,,
Kraken,dog,,,,,,,,,,,
fish,bee,,,,,,,,,pl:fish,,
unicorn,dog,,,,,,,,,,,
minataur,dog,,,,,,,,,,,
germ,bee,,,,,,,,,,,
amoeba,bee,,,,,,,,,,,
chupacabra,dog,,,,,,,,,,,
anaconda,dog,,,,,,,,,,,
gorilla,dog,,,,,,,,,,,
spider,bee,,,,,,,,,,,
sheep,dog,,,,,,,,,,,
goat,dog,,,,,,,,,,,
cow,dog,,,,,,,,,,,
bug,bee,,,,,,,,,,,
hamster,dog,,,,,,,,,,,
banana,rock,,,,,,,,,,,
bowling ball,rock,,,,,,,,,,,
tire,rock,,,,,,,,,,,
watermelon,rock,,,,,,,,,,,
smartphone,rock,,,,,,,,,,,
machine,,1,2,,0,4,TRUE,-,,,,
pile,,0,2,,,3,TRUE,-,"0.3, of N{tang:2;number:pl;anim:<2;unique:0},0.3, of N{tang:2;count:false;anim:<2;unique:0}",,,
box,pile,,,,,,,container,,,,
basket,box,,,,,,,,,,,
alien,human,,,,,,,,,,,
chimney sweep,human,,,,,,,,,,,
rabble-rouser,human,,,,,,,,,,,
Nerf-herder,human,,,,,,,,,,,
conductor,human,,,,,,,,,,,
polygamist,human,,,,,,,,,,,
wipper-snapper,human,,,,,,,,,,,
rockstar,human,,,,,,,,,,,
infant,human,2,,,,,,,,,,
conquistador,human,,,,,,,,,,,
centaur,human,,,,,,,,,,,
fairy,human,,,,,,,,,,,
father,mother,,,m,,,,,,,,
sister,mother,,,,,,,,,,,
brother,father,,,,,,,,,,,
germaphobe,human,,,,,,,,,,,
grandfather,father,,,,,,,,,,,
nerd,human,,,,,,,,,,,
ogre,human,,,,,,,,,,,
elf,human,,,,,,,,,,,
human,,3,2,,0,2,TRUE,hasHeight,,,,
stick,rock,,,,,,,,,,,
life,,0,0,,,0,FALSE,state,,pl:lives,"def:def,quantified:true",
death,life,,,,,,,, ,pl:deaths,,
life1,life,,,,,6,TRUE,,,,,
death1,life1,,,,,,,, ,pl:deaths,,
